År;Kön;0­4;5­9;10­14;15­19;20­24;25­29;30­34;35­39;40­44;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
1989;Män;0;0;0;0.69;0.32;1.34;1.36;4.27;5.55;7;19.48;30.91;64.88;98.05;160.82;214.05;246.72;322.15;33.79
1989;Kvinnor;0;0;0.81;1.09;1.99;1.06;2.49;2.4;4.87;10.66;24.25;41.98;53.74;90.9;113.83;171.54;200.49;205.66;36.75
1988;Män;0;0.41;0.75;1.39;0.94;1.04;0.68;1.93;6.42;9.32;22.86;35.29;70.94;93.34;155.45;204.25;259.58;292.13;33.79
1988;Kvinnor;0;0;1.19;1.46;1.65;2.55;1.78;4.02;5.49;13.25;20.76;43.12;54.46;78.98;120.43;158.13;228.53;221.18;37.19
1987;Män;0;0;0;1.73;0.64;1.4;1.7;3.77;5.33;7.48;16.8;41.43;62.49;106.96;146.56;207.58;230.96;302.88;33.27
1987;Kvinnor;0;0;0.77;1.09;1.67;1.1;1.42;3.91;8.1;10.25;29.49;39.3;67.8;77.87;126.97;174.98;210.01;245.05;38.75
1986;Män;0;0;0;0.68;0.98;2.45;2.03;3.66;6.76;12.7;24.92;32.58;62.9;98.91;140.94;214.56;275.51;288.32;33.76
1986;Kvinnor;0;0;1.5;1.07;2.4;0.73;2.12;4.43;5.2;13.58;21.58;35.74;57.12;96;121.92;167.46;211.43;238.6;37.73
1985;Män;0;0;1.05;1.33;1.69;1.39;2.35;3.26;6.18;12.63;19.72;47.63;69.52;97.09;159;228.43;263.59;276.69;35.26
1985;Kvinnor;0;0;0.37;2.8;1.06;2.18;2.81;3.39;8.26;14.76;23.74;33.46;48.27;82.02;107.79;167.19;234.51;273.23;36.93
1984;Män;0;0;0.7;0.98;1.4;0.35;2.31;1.45;7.26;11.71;23.75;37.23;58.88;105.51;150.26;221.15;274.81;317.63;34.12
1984;Kvinnor;0;0;1.47;2.05;0.73;2.17;3.1;3.95;6.59;12.91;18.82;38;52.11;86.71;114.07;164.9;216.43;207.08;35.28
1983;Män;0;0.38;0.7;0;0.71;1.03;1.6;1.73;3.67;13.85;22.03;33.76;57.3;91.61;144.51;196.22;309.74;282.41;31.8
1983;Kvinnor;0;0.4;0.74;1.69;1.86;1.79;2.01;5.48;7.75;12.33;27.5;40.19;58.66;99.83;104.48;166.97;208.6;242.28;36.61
1982;Män;0;0;0.35;0.97;1.43;0.34;2.8;3.51;6.59;13.2;22.61;36.81;55.85;89.11;140.67;202.41;281.41;310.59;31.67
1982;Kvinnor;0;0.39;1.46;0.68;2.24;1.78;3.58;4.35;6.52;12.96;23.06;39.72;56.66;81.55;119.28;162.79;221.08;231.15;35.44
1981;Män;0;0;0.68;0.33;0;2.03;2.11;2.73;4.83;11.91;21.44;43.15;59.06;85.35;143.99;202.89;281.73;293.68;31.34
1981;Kvinnor;0;0;0.72;1.74;1.85;1.77;2.21;5.17;9.27;15.3;26.74;38.14;46.66;77.88;128.05;172.6;209.76;219.11;34.82
1980;Män;0;0;0.67;0.34;2.82;1;1.17;2.25;5.38;10.97;16.26;28.71;56.43;91.58;143.46;229.97;259.83;286.41;30.36
1980;Kvinnor;0;0.74;1.05;1.44;2.21;2.81;1.84;4.11;9.48;13.79;25.04;35.96;60.12;79.07;118.51;161.63;228.9;242.22;34.89
1979;Män;0;0.35;0.33;1.42;0.35;0.99;1.72;5.46;7.66;10.42;21.93;38.61;53.21;100.72;143.87;195.52;292.8;317.14;31.37
1979;Kvinnor;0;0.37;1.03;1.49;0.73;1.03;1.82;5.46;6.63;13.15;19.48;39.47;51.65;85.99;124.13;162.21;203.32;256.62;33.82
1978;Män;0;0;0.64;0.36;1.05;0;1.14;3.62;6.58;9.38;23.94;32.79;54.31;95.4;124.78;217;258.5;273.53;29.19
1978;Kvinnor;0;0;0;1.91;0.37;0.67;3.03;3.09;8.62;18.7;19.49;43.45;46.49;78.31;116.58;149.71;219.44;264.07;32.74
1977;Män;0;0;0.33;0;0.7;0.94;3.48;3.44;5.36;10.12;20.49;31.74;55.36;93.6;141.52;205.03;236.92;312.22;29.08
1977;Kvinnor;0;0.36;1.03;1.54;1.09;0.98;4.34;6.09;6.44;9.64;21.89;32.59;51.39;82.14;118.59;150.59;203.27;268.8;31.88
1976;Män;0;0;0.33;0.73;1.74;1.82;1.21;5.17;5.85;12.61;19.05;31.71;55.58;100.75;135.22;193.85;281.99;300.94;29.39
1976;Kvinnor;0;1.44;0.35;1.16;1.82;3.18;2.91;2.52;7.84;12.13;20.85;35.02;50.12;76.83;105.62;169.65;197.85;235.31;30.76
1975;Män;0;0;0.35;0;1.39;2.36;0.96;4.09;8.99;12.83;21.74;30.19;60.45;80.02;139.29;199.21;220.65;338.84;28.25
1975;Kvinnor;0;0;0.36;1.53;0.72;1.86;1.71;3.44;6.86;13.65;23.48;42.91;53.79;72.81;103.7;134.97;213.46;236.26;29.82
1974;Män;0;0;1.07;0;0.68;0.87;2.37;5.06;6.24;9.63;19.78;25.22;49.45;78.86;154.5;194.24;291.12;275.43;27.48
1974;Kvinnor;0;0;0;0.76;1.06;1.22;3.28;3.97;6.31;17.98;26.76;28.82;49.51;70.88;109.51;170.8;211.54;231.51;30
1973;Män;0;0;0;0.36;0;1.43;4.3;4.76;6.58;15.52;14.95;30.2;57.72;101.65;131.94;208.8;260.54;273.44;28.28
1973;Kvinnor;0;0;0;0.38;1.37;3.64;2.31;7.69;8.85;14.73;23.5;34.08;61.91;76.95;119.48;151.76;219.7;261.97;31.34
1972;Män;0;0;0;0.36;0.32;1.15;1.88;5.71;7.76;12.34;18.37;38.25;52.15;72.17;143.58;188.18;246.88;241.86;26.2
1972;Kvinnor;0;0;1.95;1.88;1.97;1.54;2.02;5.03;6.08;13.98;18.36;32.13;60.13;74.24;109.87;184.14;199.68;229.1;29.71
1971;Män;0;0;0.37;1.07;0.3;0.89;2.73;5.3;11.9;13.48;20.85;32.24;55.64;90.92;128.59;189.25;255.79;273.1;26.97
1971;Kvinnor;0;0.35;0;0.37;1.27;1.28;5;5.95;7.29;17.42;23.93;33.41;46.75;66.96;102.56;162.07;192.87;254.86;27.88
1970;Män;0;0;0;0.35;0.89;2.83;0.8;3.09;7.54;16.3;23.03;33.89;55.22;102.12;125.91;220.09;235.78;216.24;27.22
1970;Kvinnor;0;0;0.39;0.37;1.24;1.36;2.57;5.91;9.3;17.9;23.88;31.22;48.82;78.04;103.71;166.96;257.12;289.33;29.7
